"","Pair","pvalue","EffSize","Diff"
"difference in location","lexrank-wordpattern",0.454,0.046,0
"2","condinsight-wordpattern",0.129,0.113,0
"3","simpleif-wordpattern",0.454,0.04,0
"4","condinsight-lexrank",0.045,0.155,0
"5","simpleif-lexrank",0.107,0.073,0
"6","simpleif-condinsight",0.37,0.046,0
