ThreadID,Count
49638703,7
49742914,6
49868076,10
49996456,9
50014635,7
50088757,5
50227069,7
50254393,4
50460523,3
50485037,6
50522602,9
50605220,5
50619917,4
50703187,9
50957609,9
51580523,8
51628014,7
51674222,8
51682923,4
51783807,6
